           U       eps         D  N_bath       e_1       e_2       e_3       V_1       V_2       V_3
54  2.910136  0.728547  6.792359       3 -6.931770  0.897433  6.652948  1.221644  1.214849  1.164422
55  3.087745 -0.499061  4.120754       3 -3.506436  0.952446  4.735072  1.001835  1.047434  0.722884
56  4.962150 -0.168098  7.552666       3 -7.067499 -1.147580  8.037833  1.252878  1.275187  1.269791
57  7.793763 -0.232630  2.076853       3 -1.631976 -0.208892  2.521730  0.732707  0.635903  0.617198
58  4.790302 -0.256671  3.023526       3 -2.974132 -1.892383  3.072920  0.777347  0.674777  0.930184
59  6.732068 -0.309454  4.977066       3 -6.447427  2.819364  3.506706  1.021956  1.019886  1.041123
60  4.702334  0.701283  2.957402       3 -3.525544  0.941629  2.389260  0.772809  0.816814  0.786334
61  6.564806 -0.101592  7.077099       3 -5.929264  0.861674  8.224934  1.429845  1.050074  1.165465
62  1.808374 -0.265243  7.266856       3 -4.955797  1.457884  9.577916  1.493026  1.211199  0.964415
63  4.374923 -0.832166  4.973788       3 -5.761713 -3.936466  4.185863  0.793034  0.928218  1.294573
64  4.721281 -0.899201  5.319905       3 -7.027123 -0.410645  3.612686  0.906090  0.932700  1.302240
65  6.876898  0.633306  3.661232       3 -3.703421 -0.085514  3.619044  0.836457  0.945544  0.858545
66  6.443900 -0.850683  5.299625       3 -5.078843 -1.977623  5.520407  1.009639  1.021274  1.145197
67  6.964948 -0.767565  3.251391       3 -3.243445 -1.000347  3.259338  0.866474  0.661571  0.938854
68  6.101281 -0.644830  4.564771       3 -4.419545 -1.810330  4.709998  0.963421  0.894190  1.085480
69  2.061045  0.839737  7.790466       3 -9.736194  1.408386  5.844737  1.158798  1.348313  1.341194
70  1.330646 -0.352057  6.587872       3 -7.340307  2.587629  5.835437  1.238786  1.144502  1.161677
71  2.255047 -0.718625  3.349483       3 -3.466850 -0.555665  3.232116  0.731651  0.934234  0.851024
72  6.902452  0.681400  6.319858       3 -8.406837  3.164445  4.232880  1.093655  1.337805  1.018599
73  7.809006 -0.737733  3.127182       3 -2.479853 -0.466653  3.774511  0.859664  0.825806  0.754884
74  7.948719  0.789311  5.122117       3 -4.291912  3.510192  5.952322  1.308334  0.876024  0.884129
75  4.121515  0.046925  3.989200       3 -5.212951  1.644213  2.765448  0.884492  0.834831  1.029726
76  2.297403 -0.232063  3.210236       3 -3.226054 -0.165941  3.194419  0.867502  0.710564  0.886702
77  7.692629  0.327116  3.715146       3 -3.627757  0.502324  3.802535  0.826752  1.089135  0.703847
78  6.717651 -0.117929  6.268871       3 -5.406037 -4.726688  7.131704  1.194297  0.944501  1.293236
79  2.407479 -0.450841  5.443468       3 -6.977880  3.145958  3.909056  1.071211  1.175162  0.967947
80  4.315059  0.968585  3.621300       3 -4.558636  1.283659  2.683965  0.827647  0.935850  0.862888
81  5.533409  0.176736  4.585956       3 -5.364256  0.499965  3.807655  0.976583  0.846309  1.117835
82  3.716438 -0.886935  7.282499       3 -7.086608 -1.485855  7.478390  1.244918  1.161718  1.317867
83  7.398392  0.951245  4.713294       3 -4.246801 -0.494404  5.179786  1.031086  0.986372  0.982094
84  2.527019 -0.604384  2.281774       3 -1.926642 -0.239220  2.636907  0.789448  0.585598  0.697473
85  5.638797  0.557118  3.411589       3 -3.442536 -1.045945  3.380642  0.891462  0.658583  0.971313
86  5.672502 -0.414411  6.234390       3 -6.982905 -1.371222  5.485876  1.103897  0.979495  1.338259
87  5.363203 -0.845965  2.754718       3 -3.450532 -0.292530  2.058904  0.679268  0.674136  0.915338
88  4.746571 -0.230727  7.638271       3 -7.768822 -2.281999  7.507719  1.147694  1.293725  1.368118
89  1.685286 -0.441648  6.675664       3 -7.523632  2.981903  5.827697  1.237654  1.231441  1.096187
90  5.748619 -0.375051  5.163005       3 -4.287192 -3.968178  6.038818  0.734768  1.194320  1.149168
91  5.131945 -0.011650  6.595240       3 -6.271968 -5.709686  6.918513  1.107913  1.009040  1.397508
92  4.434290  0.507912  7.874419       3 -7.970941 -0.106729  7.777898  1.376298  1.077806  1.398982
93  1.805076 -0.259527  5.374438       3 -7.403684 -0.581042  3.345192  0.822343  1.031388  1.296712
94  1.076197  0.132753  2.206346       3 -2.771973  1.322629  1.640718  0.697406  0.705523  0.648433
95  7.275274  0.715639  6.756988       3 -6.669032 -2.559134  6.844944  1.117293  1.156337  1.310028
96  7.621124 -0.374616  4.597004       3 -1.785854 -1.737209  7.408153  1.075212  1.099273  0.749708
97  7.769047  0.766416  5.777095       3 -4.176020 -0.541521  7.378169  1.135798  1.242690  0.918422
98  7.504886  0.066687  3.421451       3 -4.053150  2.023261  2.789751  0.888893  0.934759  0.717117
99  1.348679 -0.086876  5.178365       3 -5.013983 -0.110173  5.342747  1.051938  1.062227  1.030412
