              U       eps         D  N_bath        e_1       e_2        e_3       V_1       V_2       V_3
50     5.802363  0.038306  3.195660       3  -4.491583  0.152424   1.899737  0.594970  0.957638  0.873706
51     2.669765 -0.490494  3.183209       3  -3.187504  0.811019   3.178914  0.865654  0.840137  0.755849
52     4.180366 -0.377610  2.026822       3  -2.534122  0.878165   1.519522  0.653261  0.599845  0.709754
53     2.480375 -0.309661  7.973529       3  -7.442901 -4.522097   8.504158  1.145006  1.307256  1.433928
54     2.451860 -0.737706  5.863602       3  -8.690868  2.052983   3.036335  0.909535  1.288624  1.115830
55     3.684226 -0.861923  3.624883       3  -3.675662 -0.573961   3.574103  0.818297  0.904464  0.905542
56     3.799847  0.162047  2.599775       3  -2.132385 -1.869760   3.067165  0.773673  0.630740  0.811582
57     3.792713  0.744474  2.471281       3  -2.334515  1.380178   2.608046  0.871618  0.532521  0.727990
58     1.104233  0.475777  2.286477       3  -2.501005  0.562508   2.071949  0.682416  0.766303  0.634589
59     6.645732 -0.990684  4.557704       3  -4.927698  2.647715   4.187710  1.094988  0.890568  0.953632
60     7.221248 -0.202438  4.246652       3  -4.781101 -0.357319   3.712204  0.884546  0.912783  1.043029
61     3.079091 -0.445803  3.084318       3  -2.437129 -0.626918   3.731508  0.685022  1.008438  0.690894
62     7.816968  0.742541  7.799737       3 -10.700071  1.418013   4.899404  1.127367  1.137119  1.549668
63     5.667247  0.809255  7.804860       3  -8.128414 -4.481993   7.481306  1.227255  1.068638  1.523347
64     3.256523  0.735436  4.036104       3  -3.327690 -2.383374   4.744517  0.877026  0.916094  0.980337
65     3.311786  0.227231  5.199235       3  -4.260468 -1.627885   6.138002  1.129146  0.953378  1.061148
66     6.159027  0.839647  3.665624       3  -5.407664  0.331100   1.923583  0.703269  0.736130  1.138918
67     6.933776 -0.944291  7.529354       3  -9.269259  3.474388   5.789448  1.245180  1.379037  1.158067
68     4.704059 -0.794370  5.051895       3  -5.609406  3.596300   4.494384  1.167200  0.876271  1.042079
69     4.095176 -0.464920  3.360008       3  -4.846038  1.342212   1.873977  0.724350  0.952701  0.840669
70     1.283072  0.981719  3.685759       3  -2.916180 -0.396683   4.455337  0.773799  1.115755  0.709051
71     4.674210  0.709605  7.223304       3  -4.515089 -3.759869   9.931518  1.258370  1.290286  1.161966
72     5.821928 -0.425453  3.309838       3  -4.213624  2.359482   2.406052  0.873591  0.620542  0.979221
73     3.437275  0.878994  2.282670       3  -1.359068 -0.246061   3.206272  0.860886  0.607916  0.585242
74     7.413270 -0.480440  7.190829       3  -8.970819 -0.115621   5.410839  1.028037  1.315962  1.337613
75     2.726308 -0.284791  2.289290       3  -3.074655  1.153390   1.503924  0.665860  0.679457  0.743220
76     3.074783 -0.478266  6.242843       3  -6.942113  4.261042   5.543572  1.295546  0.915718  1.207203
77     6.982090 -0.024451  5.461433       3  -6.517007  3.018589   4.405858  1.127004  1.020588  1.079406
78     5.539519 -0.375617  4.623126       3  -4.120131  0.210478   5.126120  1.015302  1.063110  0.884382
79     4.919827  0.278395  4.350498       3  -5.404887  1.681493   3.296110  0.946985  0.906249  1.025449
80     2.312342 -0.027822  2.414948       3  -3.108496  0.368294   1.721401  0.647660  0.677195  0.812003
81     1.495089  0.353880  2.280908       3  -2.862578  1.188517   1.699238  0.702222  0.653207  0.729573
82     7.762308 -0.940610  6.942387       3  -8.090881 -1.581580   5.793892  1.040301  1.197733  1.379446
83     6.121330 -0.376801  2.950819       3  -3.823454  1.901839   2.078185  0.801517  0.799037  0.773085
84     1.320627  0.821368  7.060827       3  -8.591837  3.085374   5.529816  1.217754  1.265623  1.187575
85     6.199201  0.333979  6.502597       3  -5.225413 -3.969003   7.779781  1.090858  1.193306  1.235205
86     5.868607 -0.285621  3.439091       3  -1.517353 -1.120600   5.360829  1.033775  0.822649  0.666297
87     2.452694  0.031188  4.417997       3  -3.760647  1.518381   5.075347  1.067728  1.086823  0.700969
88     3.993471 -0.941348  6.525245       3  -5.674301  0.917482   7.376190  1.256352  1.246932  1.010366
89     2.342754 -0.031523  5.933114       3  -5.394065 -4.990296   6.472163  1.084689  0.956414  1.298406
90     1.438361  0.849442  5.939224       3  -4.489655 -3.898359   7.388793  1.013159  1.181046  1.166047
91     3.561878  0.995189  5.539367       3  -3.855767 -3.634609   7.222967  0.951305  1.192711  1.094957
92     2.248636 -0.168491  7.223134       3  -6.534401 -1.873564   7.911868  1.135865  1.346570  1.222682
93     2.925987  0.827716  4.766519       3  -3.618393 -0.275235   5.914645  1.002302  1.162899  0.823115
94     5.598433 -0.816566  6.531198       3  -5.454318 -1.406798   7.608078  1.163226  1.244358  1.120878
95     6.015303 -0.648439  4.457241       3  -3.953992  1.042332   4.960489  1.012561  1.122384  0.743331
96     4.124934  0.713518  5.517378       3  -3.653363 -1.110417   7.381394  1.067011  1.254480  0.894561
97     2.371068 -0.796088  6.250412       3  -5.145577  0.344361   7.355246  1.283908  1.111465  1.046596
98     3.526987 -0.761663  6.986236       3  -8.360204  4.670243   5.612269  1.305050  1.111446  1.228458
99     6.151795 -0.696530  2.067608       3  -1.596204 -1.127405   2.539011  0.663895  0.643752  0.679048
100    4.810690 -0.439834  3.876159       3  -2.904178 -0.832119   4.848140  0.732409  1.172198  0.746438
101    1.354055  0.270098  7.180641       3  -4.695699 -2.691639   9.665583  1.292959  1.277792  1.125541
102    6.775625  0.426854  6.556139       3  -4.401504 -0.455306   8.710775  1.333351  1.192991  0.986263
103    6.051687 -0.048045  6.424416       3  -7.585779  3.603934   5.263053  1.207749  1.295225  0.976546
104    7.652997  0.570724  3.830764       3  -3.441039 -0.036112   4.220489  0.873124  1.022689  0.794042
105    7.756202  0.292787  3.507090       3  -2.295997 -0.946727   4.718183  0.907668  0.916223  0.754557
106    5.729625  0.645231  2.863458       3  -2.672361  1.942919   3.054555  0.930165  0.742765  0.637203
107    2.816987  0.521347  6.167695       3  -6.986692  0.605170   5.348698  1.152546  0.986431  1.274781
108    4.259189  0.643694  4.442214       3  -4.531317  2.414196   4.353111  1.112178  0.825448  0.953781
109    7.259476 -0.984878  5.622271       3  -4.329147 -1.740234   6.915394  1.175734  1.031415  1.064462
110    4.467280  0.667817  7.262409       3  -9.828605  2.857767   4.696213  1.111181  1.433584  1.154776
111    3.885721 -0.726229  3.225269       3  -2.477211 -0.660457   3.973326  0.918311  0.765958  0.789483
112    7.630493  0.489064  6.102756       3  -7.832069  3.721910   4.373443  1.147684  1.184791  1.078994
113    3.718465  0.783495  3.944923       3  -3.616735  1.789779   4.273111  1.043612  0.927983  0.749092
114    2.051725  0.685625  3.230698       3  -3.015148  0.860117   3.446247  0.850441  0.966304  0.632244
115    4.018339 -0.745760  5.806864       3  -7.141601  1.577784   4.472128  1.083712  0.999748  1.234033
116    2.506207 -0.715382  6.397870       3  -9.281823  2.095502   3.513918  0.990944  1.109856  1.363546
117    2.310632 -0.946427  4.180826       3  -3.870766 -3.179473   4.490886  0.820083  0.908394  1.078834
118    1.027972 -0.337122  6.238069       3  -5.401345 -0.877063   7.074793  1.084189  1.299616  1.052051
119    3.936841 -0.348751  5.556715       3  -3.377393 -2.043440   7.736036  1.158833  1.127952  0.960388
120    7.594650  0.138101  2.735485       3  -3.262369 -0.214167   2.208601  0.700222  0.693056  0.877967
121    5.073642 -0.035869  5.534933       3  -4.270660 -3.699951   6.799206  0.920144  1.178647  1.134801
122    1.382760 -0.440225  5.912943       3  -6.877073  2.357186   4.948813  1.150299  1.072482  1.136174
123    4.222978 -0.354712  7.993911       3 -10.903973  4.502383   5.083849  1.251352  1.199827  1.443473
124    1.079536  0.479318  2.859353       3  -2.964220  1.423426   2.754485  0.857384  0.780176  0.690318
125    5.677342  0.551436  5.600674       3  -7.640067  1.019781   3.561280  0.891091  1.223322  1.129132
126    3.473890  0.555054  7.773900       3  -8.829543 -4.084857   6.718256  0.955935  1.327610  1.507534
127    4.616389  0.408677  6.885341       3  -8.087722  0.362336   5.682961  1.135280  1.160197  1.322280
128    1.051459  0.268473  2.773713       3  -3.148714 -0.683968   2.398711  0.595626  0.857664  0.821853
129    6.714741  0.890856  7.093015       3  -8.768815  4.118551   5.417214  1.244967  1.380282  1.029773
130    1.677746  0.618498  3.781277       3  -5.020308  2.198299   2.542247  0.873699  1.004310  0.797024
131    2.443354 -0.326675  6.744062       3  -6.572604  0.310151   6.915519  1.294698  1.035432  1.242997
132    1.971403 -0.577844  7.961755       3  -9.914924  2.135910   6.008587  1.138438  1.592204  1.112411
133    6.887565  0.782298  6.558029       3  -9.491026  3.107668   3.625031  1.044990  1.252487  1.230545
134    6.400510  0.468370  5.952030       3  -4.694518 -2.305201   7.209541  1.312365  0.846373  1.162123
135    4.119448  0.507216  2.531463       3  -3.529986  1.532723   1.532941  0.698512  0.859241  0.620778
136    4.679396 -0.227065  7.462026       3  -9.094307  3.462622   5.829746  1.267411  1.253787  1.253858
137    6.328860 -0.870034  4.971407       3  -3.006891 -1.301681   6.935924  0.969215  1.237319  0.833403
138    7.745908 -0.613869  4.100606       3  -2.719483 -1.173188   5.481729  0.890661  1.082923  0.802825
139    4.013159 -0.679421  3.912955       3  -3.796927  1.370367   4.028984  0.988464  0.948151  0.784228
140    5.466024 -0.974634  6.741162       3  -5.376226 -1.646630   8.106098  1.154610  1.313030  1.111029
141    3.502060 -0.156905  2.731900       3  -2.766078 -0.257674   2.697722  0.658262  0.886828  0.720700
142    1.607106  0.123266  2.627572       3  -2.575436  0.846319   2.679708  0.813760  0.739473  0.680983
143    1.327128 -0.804230  7.812518       3  -8.292955  0.823089   7.332081  1.354497  1.094702  1.393043
144    7.212848 -0.676565  7.201679       3  -7.223099  1.255480   7.180259  1.326285  1.131362  1.243270
145    7.137184  0.379245  5.307272       3  -6.507754  2.335794   4.106790  1.031377  1.208053  0.924978
146    6.535516 -0.893034  5.490838       3  -2.903999 -1.926332   8.077677  1.185942  1.130741  0.900302
147    7.295668 -0.717873  7.676997       3  -9.120642 -2.782663   6.233353  1.146465  1.067976  1.559607
148    2.259402 -0.464435  3.563058       3  -3.271201  0.229358   3.854914  0.966621  0.758493  0.871003
149    1.790515  0.162319  2.550073       3  -3.061722  0.456182   2.038423  0.704012  0.702764  0.796189
150    4.275414 -0.335005  7.479923       3  -4.730227 -0.401845  10.229618  1.372956  1.389039  0.973360
151    7.416786 -0.278137  6.967539       3  -8.333543  1.947564   5.601534  1.200168  1.143084  1.299472
152    3.339512  0.846394  3.159108       3  -3.554719  1.565843   2.763497  0.860857  0.855012  0.734187
153    6.313413 -0.697845  2.047253       3  -2.144389  0.585757   1.950117  0.679962  0.689452  0.604673
154    4.167749 -0.580210  3.748451       3  -3.565044  0.870372   3.931857  0.988619  0.819395  0.858814
155    5.318419  0.232800  6.434329       3  -4.204986 -3.674155   8.663673  1.280295  1.080141  1.135941
156    6.334165 -0.013356  5.712493       3  -6.745339 -1.741709   4.679648  1.040195  0.851564  1.352598
157    2.448848 -0.584389  4.517124       3  -4.986205  2.718748   4.048042  1.066371  1.014326  0.842429
158    6.784898 -0.148229  7.828709       3  -7.916084  4.866380   7.741333  1.479413  1.224870  1.137955
159    6.569056 -0.284858  3.033758       3  -1.569913 -0.896680   4.497603  0.821610  0.922505  0.636626
160    4.313519 -0.063228  3.465942       3  -3.964435  2.058197   2.967448  0.939595  0.686006  0.923604
161    7.481046  0.620443  3.474586       3  -4.280751 -1.856938   2.668420  0.677681  0.774009  1.074080
162    6.082301  0.484040  3.989490       3  -1.923363 -1.015418   6.055617  1.010919  1.010885  0.704232
163    3.418760 -0.243795  7.725317       3  -4.308612 -3.818163  11.142021  1.250630  1.430921  1.143013
164    5.330932  0.124420  7.802941       3  -7.550106  0.959108   8.055776  1.324621  1.334307  1.196876
165    5.683603 -0.036536  3.676484       3  -3.887927  0.841151   3.465041  0.934190  0.803258  0.906967
166    3.747944  0.103639  2.036514       3  -1.449788 -0.463624   2.623240  0.616242  0.775041  0.562177
167    7.761840 -0.922404  2.840535       3  -2.513318 -0.929240   3.167753  0.707429  0.839188  0.776948
168    3.843012  0.856779  4.761940       3  -6.626277  1.924030   2.897603  0.896650  1.076009  1.034296
169    4.224814  0.684622  7.460961       3  -8.567482  3.230114   6.354440  1.325863  1.124518  1.314283
170    2.409928  0.673189  6.252827       3  -7.085592 -2.743907   5.420061  0.915880  1.165261  1.335666
171    6.649267  0.975795  4.917047       3  -4.086154  0.660980   5.747941  1.127771  1.038391  0.883270
172    7.611267 -0.545073  4.705492       3  -4.750594  3.157132   4.660389  1.165810  0.882265  0.926340
173    4.607064  0.874540  7.426908       3  -8.177426 -0.163539   6.676390  1.223971  1.166934  1.366849
174    7.222885 -0.542420  3.754293       3  -3.423735 -1.028510   4.084851  0.853429  0.916408  0.906594
175    4.858433 -0.488030  6.781654       3  -5.029712 -2.958384   8.533596  1.289166  1.115536  1.187840
176    3.797609 -0.611558  3.906806       3  -3.933826 -2.039013   3.879785  0.762007  0.929403  1.021129
177    7.808689 -0.987274  3.168203       3  -3.577456 -0.341930   2.758950  0.802346  0.692143  0.945578
178    4.593753  0.148750  6.974833       3  -8.597335  0.917794   5.352332  1.160338  1.060191  1.403541
179    2.104118 -0.648312  7.846931       3  -8.049437 -3.425773   7.644424  1.200649  1.185730  1.465605
180    2.019619  0.848636  7.380159       3  -9.264407 -2.891842   5.495911  0.924077  1.255319  1.506191
181    6.491253 -0.557336  6.030139       3  -7.676947 -0.775217   4.383331  1.013842  0.926773  1.397183
182    7.155831  0.487909  2.129437       3  -2.074739 -0.243889   2.184135  0.675301  0.647741  0.692850
183    7.207453  0.969574  5.276297       3  -6.641296  2.721855   3.911299  1.049753  1.126454  0.994041
184    6.912409  0.997564  2.495947       3  -2.347465 -1.995385   2.644429  0.558164  0.755271  0.840826
185    3.208022 -0.873371  2.582432       3  -3.107727  1.106786   2.057138  0.752293  0.694941  0.771453
186    4.406390 -0.648429  5.117373       3  -6.173621  0.525575   4.061126  1.003129  0.910580  1.192643
187    5.882143 -0.505927  4.625158       3  -4.416033  0.048568   4.834284  1.044943  0.929410  0.994364
188    4.059514  0.118260  5.978888       3  -5.547932 -0.561450   6.409843  1.096166  1.199447  1.079826
189    1.945863  0.677550  7.925308       3  -9.375099  0.154371   6.475517  1.170717  1.315988  1.393917
190    3.453292 -0.354380  4.299296       3  -4.921260  1.838775   3.677332  0.969092  1.040276  0.845992
191    1.798447  0.402915  6.832204       3  -8.330035  2.425649   5.334373  1.166572  1.258401  1.185349
192    6.488937 -0.677081  2.424713       3  -2.208552 -0.746227   2.640873  0.767541  0.600064  0.770989
193    1.915109 -0.477247  5.677175       3  -7.682486  1.208648   3.671864  0.952466  1.098114  1.225216
194    2.902827  0.881134  2.571702       3  -2.670188  0.764237   2.473216  0.787653  0.708634  0.717382
195    1.352966  0.638053  6.205822       3  -8.247762  3.252883   4.163882  1.109294  1.136900  1.194853
196    2.065736 -0.445899  4.692544       3  -3.783873  0.544042   5.601216  1.111315  1.008362  0.857643
197    6.211991  0.344915  5.971485       3  -7.424800  3.047656   4.518170  1.154906  0.920686  1.272830
198    6.265344  0.507513  4.684910       3  -3.993747 -0.753738   5.376074  1.134392  0.805445  1.023191
199    7.554264  0.699837  7.419734       3  -4.932341 -0.050562   9.907127  1.363255  1.389238  0.967006
200    3.395471  0.495008  3.463059       3  -4.148562  0.129874   2.777556  0.853198  0.639177  1.033518
201    1.000447  0.849727  3.529707       3  -2.957113 -1.907656   4.102302  0.814390  0.868780  0.910534
202    5.512905 -0.568103  4.747279       3  -5.163007  3.957612   4.331552  1.154061  1.091474  0.706427
203    2.658627  0.409771  4.045861       3  -3.419019  0.442758   4.672704  1.091197  0.753321  0.904141
204    3.958899  0.974454  4.925363       3  -4.632592  0.807874   5.218134  1.125411  0.938620  0.993996
205    7.004333  0.674322  3.851500       3  -4.049135  2.366372   3.653865  1.015792  0.886076  0.796855
206    2.158647  0.817141  2.218980       3  -1.990852 -0.108791   2.447109  0.740123  0.633538  0.680804
207    3.583141  0.269996  5.031369       3  -4.344258 -0.589508   5.718480  0.971975  1.181800  0.928269
208    1.991660 -0.448155  5.256112       3  -6.127528 -1.878526   4.384696  0.873382  1.030659  1.233326
209    5.231548  0.061550  3.174283       3  -3.132644  2.778980   3.215921  0.994283  0.713734  0.723047
210    6.731505 -0.027812  3.396842       3  -2.429709 -1.486537   4.363975  0.719877  1.005619  0.795616
211    5.958661 -0.816780  4.356036       3  -3.647733 -1.863632   5.064338  0.856397  1.051130  0.966875
212    6.088345  0.645566  5.536261       3  -5.771115 -4.068635   5.301407  0.927316  0.988909  1.298706
213    3.134428  0.343143  2.745909       3  -3.874694  1.285227   1.617125  0.678680  0.946490  0.625820
214    2.973421 -0.292843  5.452211       3  -4.674243 -2.950959   6.230178  1.040081  1.034671  1.148335
215    1.161033 -0.695812  7.116913       3  -7.485985 -1.043541   6.747841  1.127891  1.264875  1.287913
216    3.510810 -0.288899  7.029289       3  -5.990732  1.357351   8.067846  1.313565  1.328648  0.992082
217    1.247974 -0.248773  2.426732       3  -3.183410  0.266906   1.670054  0.580141  0.821347  0.730570
218    1.821656  0.866419  6.153832       3  -4.945054 -0.901118   7.362611  1.271742  1.040032  1.103927
219    6.399318  0.582477  5.626577       3  -7.100758  3.703421   4.152396  1.131427  1.021372  1.121901
220    7.902824  0.774003  5.064870       3  -3.724401 -1.637084   6.405338  1.171858  0.915635  1.006358
221    2.380786  0.645048  7.549177       3  -8.229321  0.143799   6.869034  1.262446  1.153540  1.371689
222    5.622248  0.478200  5.109344       3  -6.051300  2.663176   4.167388  1.071990  1.097662  0.947990
223    3.552760 -0.955543  7.351554       3  -4.810472 -0.942429   9.892635  1.395314  1.277160  1.049813
224    3.072997  0.639059  5.705224       3  -6.797721 -1.972870   4.612726  0.965058  0.964531  1.330564
225    6.401350  0.138011  3.714117       3  -3.538420  2.592219   3.889814  1.062424  0.791450  0.780604
226    3.470303 -0.636811  2.421268       3  -1.267209 -1.265443   3.575326  0.885386  0.595216  0.635009
227    3.257438  0.656398  2.962481       3  -2.949229 -1.488631   2.975733  0.799006  0.640174  0.915282
228    2.768076  0.340345  2.296342       3  -1.609590 -0.769609   2.983095  0.795088  0.623238  0.664310
229    2.949236 -0.423756  6.985795       3  -7.543871  3.959573   6.427719  1.371573  0.965849  1.277975
230    7.343189 -0.331438  4.667797       3  -6.322421  1.601423   3.013173  0.917940  0.877751  1.165569
231    3.703251  0.921438  4.697481       3  -4.847713  0.452832   4.547249  1.031136  0.938915  1.022598
232    4.555676 -0.468320  4.919733       3  -5.439727 -2.784580   4.399739  0.964635  0.802275  1.248132
233    7.097170  0.216985  7.408871       3  -8.202622  2.671453   6.615121  1.313549  1.195293  1.249999
234    3.007018  0.547997  3.078035       3  -2.602119 -0.555472   3.553952  0.832639  0.809997  0.781124
235    1.577796  0.711681  5.617173       3  -4.394826 -1.618341   6.839520  1.108910  1.121790  1.043029
236    1.273006 -0.675178  7.333370       3  -3.464950 -2.892308  11.201790  1.351714  1.345045  1.016018
237    4.268958 -0.611157  6.835290       3  -5.744078 -1.415836   7.926503  1.393079  0.923170  1.248426
238    4.791621 -0.580125  2.629709       3  -1.579338  0.061696   3.680079  0.832838  0.833353  0.534817
239    3.245453  0.670528  5.888819       3  -3.917207 -0.726961   7.860430  1.361142  0.943706  1.002822
240    3.824782 -0.346065  5.572986       3  -5.816475  2.700507   5.329498  1.198110  1.051855  1.003000
241    7.165097 -0.127968  4.825592       3  -4.603552 -3.043600   5.047632  0.854112  1.022900  1.138523
242    3.240444  0.060333  6.993050       3  -5.218047  1.361075   8.768052  1.398405  1.255973  0.958597
243    2.228687  0.154755  2.578888       3  -2.087520 -0.435008   3.070256  0.820143  0.669542  0.721700
244    7.732786  0.280167  7.182668       3  -8.165504  2.238045   6.199831  1.256335  1.196906  1.249666
245    5.326739 -0.234163  3.404360       3  -4.246220  1.865532   2.562500  0.862515  0.837138  0.850029
246    5.969118  0.993794  4.795151       3  -4.178794  2.119979   5.411507  1.188755  0.949459  0.859114
247    2.342365  0.666916  7.815544       3  -9.303568  2.473424   6.327519  1.222609  1.451306  1.172377
248    4.257209 -0.376989  2.406167       3  -3.312582  0.946283   1.499753  0.659299  0.609395  0.851925
249    7.857299  0.668186  6.629495       3  -7.426969  1.642147   5.832021  1.178828  1.215342  1.163518
250    7.114613  0.776057  4.345120       3  -4.978043  1.374952   3.712197  1.024826  0.698872  1.107926
251    1.921053 -0.674776  4.244785       3  -3.030025 -1.608671   5.459546  0.941097  1.011694  0.890575
252    1.368701 -0.575923  5.259209       3  -4.619738 -0.731642   5.898680  1.165337  0.907908  1.079727
253    4.328712 -0.852053  2.323986       3  -2.877348  0.988020   1.770624  0.702599  0.644600  0.755209
254    6.522968  0.317618  6.490913       3  -8.412730  1.895042   4.569096  1.030415  1.380627  1.079054
255    5.240198 -0.795782  3.676166       3  -3.179357  0.220927   4.172976  1.016270  0.741442  0.870506
256    4.233792  0.772255  5.713807       3  -7.715721  3.357300   3.711894  1.069763  1.094051  1.138500
257    2.005682  0.862453  4.224241       3  -3.913468 -0.387845   4.535014  1.039272  0.789778  0.992673
258    7.883948  0.393474  5.787804       3  -4.615120  0.295404   6.960488  1.298284  0.959462  1.038519
259    4.574612 -0.240330  3.858254       3  -3.814697 -0.519503   3.901811  0.842934  0.963086  0.904527
260    3.238682  0.035060  3.027035       3  -2.142002 -1.018107   3.912068  0.741495  0.924104  0.723386
261    2.862173  0.550122  5.966529       3  -4.804829 -0.974140   7.128229  1.244064  1.030682  1.090142
262    6.943865 -0.381287  4.354352       3  -3.186758 -2.457950   5.521946  0.969528  0.944663  0.969379
263    3.267881  0.694090  3.660852       3  -3.431920  1.329656   3.889783  0.969395  0.923839  0.733052
264    1.953869  0.020721  7.337804       3  -9.270204 -0.380174   5.405405  0.926742  1.478474  1.275404
265    1.258710  0.777381  2.988518       3  -2.296015 -1.422804   3.681022  0.819634  0.765137  0.803315
266    4.287568  0.370701  3.431227       3  -3.208751 -0.927354   3.653703  0.839259  0.828895  0.890485
267    1.616647 -0.481017  2.201694       3  -3.152264  1.182259   1.251123  0.624680  0.716073  0.706155
268    3.623416  0.152045  2.052755       3  -1.637991 -0.466561   2.467520  0.729078  0.596023  0.648095
269    1.161462  0.353637  5.490938       3  -3.963035 -1.813910   7.018840  1.181834  1.020389  1.028452
270    5.429817  0.889242  7.282447       3  -4.612302 -4.130978   9.952592  1.220336  1.317636  1.187757
271    3.004776 -0.118674  7.672000       3  -8.241679 -6.375062   7.102321  1.063427  1.134173  1.570644
272    5.988136  0.375947  4.521059       3  -4.545720 -3.634972   4.496398  0.855233  0.882161  1.169857
